id: 7, speed 33.29187352444192
id: 9, speed 19.033806904138423
id: 6, speed 12.910606353256183
id: 16, speed 8.324232932969602
id: 19, speed 4.525051414174819
id: 22, speed 5.872643579977433
id: 24, speed 3.551674477322137
id: 28, speed 7.733630566238745
id: 32, speed 13.215977750475549
id: 26, speed 3.51804929933326
id: 43, speed 38.76766289270103
id: 53, speed 28.52708570273458
id: 51, speed 5.78364992520442
id: 48, speed 33.612698492267974
id: 56, speed 20.989889981555997
